Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
595,188,8986,47.79787,2.19385,22.68952,8.48854,5.07790,63.98611,9.18702,314.36170,299.58511,88.81960,5.62328
596,189,9157,48.44974,2.23560,23.02366,8.62624,5.20962,60.51698,9.29913,304.46032,304.49206,90.36009,5.67243
597,188,9314,49.54255,2.27393,23.85933,8.99381,5.25105,56.08390,9.73739,318.94149,314.28723,82.21726,5.79206
598,196,8947,45.64796,2.18433,22.52885,8.42551,5.12376,56.33780,9.15152,304.44388,315.92857,83.02360,5.62194
599,186,8446,45.40860,2.06201,22.43451,8.44036,5.10313,59.46241,9.09650,303.96237,299.01075,85.86947,5.55477
600,178,8352,46.92135,2.03906,23.10785,8.77812,5.15832,63.62494,9.41373,300.62921,301.54494,84.66469,5.67768
601,175,8063,46.07429,1.96851,23.00562,8.80638,5.12120,62.11749,9.44213,294.00000,294.93143,81.61551,5.62330
602,184,7552,41.04348,1.84375,20.83619,7.81752,4.80241,53.56474,8.46884,290.65761,293.72826,89.23130,5.22078
603,163,7272,44.61350,1.77539,22.07641,8.33565,4.98050,65.53264,8.97779,296.90798,294.86503,90.00432,5.46531
604,153,7195,47.02614,1.75659,23.21653,8.79694,5.21539,65.46027,9.44154,306.00654,294.24837,83.16245,5.70435
605,159,7192,45.23270,1.75586,22.13244,8.28590,5.11142,70.37901,8.96932,300.69811,288.59119,91.87763,5.60919
606,162,7168,44.24691,1.75000,21.77046,8.15371,5.03212,63.56676,8.81121,293.45679,295.21605,89.43605,5.49616
607,162,7288,44.98765,1.77930,21.88891,8.12479,5.10906,62.44607,8.81929,294.80247,305.87037,85.12219,5.56355
608,160,7307,45.66875,1.78394,21.77769,8.04159,5.16810,61.30689,8.73717,286.08125,308.31875,85.58771,5.65658
609,163,7609,46.68098,1.85767,21.95284,8.06438,5.22708,62.70927,8.77097,284.12270,301.79755,90.57462,5.72830
610,155,7937,51.20645,1.93774,23.66221,8.55703,5.32304,62.88367,9.41339,280.34839,290.54839,96.27283,5.91802
611,157,8078,51.45223,1.97217,23.57686,8.55171,5.29559,67.18628,9.32724,291.57325,281.36943,95.89166,5.85276
